id,neo_reference_id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,estimated_diameter_km_max,estimated_diameter_km_min,close_approach_date_full,velocity_kps,miss_distance_km,orbiting_body,date,is_sentry_object
54549119,54549119,(2025 SC24),25.339,False,0.0508440315,0.0227381421,2025-Oct-06 15:35,13.3319687938,4528365.911713442,Earth,2025-10-06,False
54549120,54549120,(2025 SH25),26.813,False,0.0257893252,0.0115333369,2025-Oct-06 19:33,12.7779832889,3543917.366299815,Earth,2025-10-06,False
54550524,54550524,(2025 TC1),26.805,False,0.0258845118,0.0115759056,2025-Oct-06 10:46,5.6969636005,4239477.405117294,Earth,2025-10-06,False
54549688,54549688,(2025 SL29),23.88,False,0.0995497053,0.0445199816,2025-Oct-06 17:34,5.5933307016,16053981.201076254,Earth,2025-10-06,False
2162080,2162080,162080 (1998 DG16),19.95,False,0.6081909854,0.2719912773,2025-Oct-08 12:06,17.0825053715,61525294.06124466,Earth,2025-10-08,False
3785769,3785769,(2017 TJ4),25.2,False,0.0542050786,0.0242412481,2025-Oct-08 04:41,18.3052886428,47262643.87657173,Earth,2025-10-08,False
54017652,54017652,(2020 MK3),25.8,False,0.0411187571,0.0183888672,2025-Oct-08 00:08,13.0947676574,62188993.269302085,Earth,2025-10-08,False
54051399,54051399,(2020 QU5),25.68,False,0.0434550225,0.0194336768,2025-Oct-08 10:10,13.2171340601,4478839.861353798,Earth,2025-10-08,False
54055119,54055119,(2020 TQ3),26.5,False,0.0297879063,0.0133215567,2025-Oct-08 09:59,18.420602078,60209055.27223714,Earth,2025-10-08,False
54278307,54278307,(2022 JA1),25.37,False,0.0501233372,0.0224158379,2025-Oct-08 20:47,9.7409613216,50158125.40077171,Earth,2025-10-08,False
54296538,54296538,(2022 QP1),23.42,False,0.1230382028,0.0550243571,2025-Oct-08 09:36,3.1339293811,65888566.62094542,Earth,2025-10-08,False
54314205,54314205,(2022 TU1),27.79,False,0.016445231,0.0073545309,2025-Oct-08 08:43,12.9051311585,6459032.294476041,Earth,2025-10-08,False
54545163,54545163,(2025 RN3),24.889,False,0.0625518241,0.0279740262,2025-Oct-08 04:46,4.3731734324,25165467.281062692,Earth,2025-10-08,False
54547374,54547374,(2025 SK7),23.042,False,0.1464333435,0.0654869821,2025-Oct-08 01:53,23.0434344909,9330756.49509685,Earth,2025-10-08,False
54547373,54547373,(2025 SJ7),23.7,False,0.1081533507,0.0483676488,2025-Oct-08 06:01,8.100480555,15080573.502061173,Earth,2025-10-08,False
54549687,54549687,(2025 SJ29),26.527,False,0.0294198178,0.0131569425,2025-Oct-08 01:48,10.4841692829,3235266.801559223,Earth,2025-10-08,False
54549122,54549122,(2025 SW25),25.862,False,0.0399613341,0.0178712519,2025-Oct-08 14:49,6.1990238587,9653241.646458237,Earth,2025-10-08,False
54550499,54550499,(2025 SD38),26.493,False,0.0298840861,0.0133645696,2025-Oct-08 01:35,6.0026226154,11430922.934328722,Earth,2025-10-08,False
54550568,54550568,(2025 TF1),26.172,False,0.0346449532,0.0154936941,2025-Oct-08 17:07,17.4677714507,3232485.627558053,Earth,2025-10-08,False
54551098,54551098,(2025 TN2),25.524,False,0.0466917314,0.0208811771,2025-Oct-08 22:13,14.0248675286,1344434.456992791,Earth,2025-10-08,False
